Game,Double Sixes,Winner,Number of Double Sixes
1,True,Gambler,2
2,False,House,0
3,False,House,0
4,False,House,0
5,False,House,0
6,True,Gambler,1
7,True,Gambler,1
8,False,House,0
9,True,Gambler,2
10,False,House,0
11,False,House,0
12,False,House,0
13,False,House,0
14,True,Gambler,1
15,False,House,0
16,False,House,0
17,True,Gambler,1
18,True,Gambler,1
19,True,Gambler,4
20,True,Gambler,1
21,True,Gambler,1
22,True,Gambler,3
23,False,House,0
24,True,Gambler,1
25,True,Gambler,2
26,True,Gambler,2
27,True,Gambler,1
28,True,Gambler,1
29,True,Gambler,2
30,False,House,0
31,True,Gambler,1
32,False,House,0
33,True,Gambler,2
34,False,House,0
35,True,Gambler,2
36,True,Gambler,2
37,False,House,0
38,True,Gambler,1
39,True,Gambler,2
40,False,House,0
41,False,House,0
42,True,Gambler,2
43,False,House,0
44,True,Gambler,1
45,False,House,0
46,False,House,0
47,True,Gambler,1
48,True,Gambler,1
49,True,Gambler,1
50,True,Gambler,1
51,False,House,0
52,True,Gambler,2
53,True,Gambler,1
54,False,House,0
55,False,House,0
56,True,Gambler,1
57,True,Gambler,2
58,True,Gambler,1
59,True,Gambler,2
60,False,House,0
61,True,Gambler,1
62,False,House,0
63,True,Gambler,1
64,True,Gambler,1
65,True,Gambler,1
66,False,House,0
67,False,House,0
68,True,Gambler,1
69,False,House,0
70,True,Gambler,1
71,False,House,0
72,True,Gambler,2
73,True,Gambler,1
74,False,House,0
75,False,House,0
76,False,House,0
77,False,House,0
78,False,House,0
79,True,Gambler,2
80,False,House,0
81,True,Gambler,1
82,True,Gambler,1
83,False,House,0
84,True,Gambler,2
85,False,House,0
86,False,House,0
87,True,Gambler,1
88,False,House,0
89,True,Gambler,3
90,False,House,0
91,True,Gambler,1
92,True,Gambler,1
93,False,House,0
94,True,Gambler,1
95,True,Gambler,1
96,True,Gambler,2
97,True,Gambler,1
98,False,House,0
99,True,Gambler,1
100,False,House,0
101,False,House,0
102,True,Gambler,2
103,True,Gambler,1
104,True,Gambler,2
105,True,Gambler,1
106,True,Gambler,1
107,True,Gambler,1
108,True,Gambler,1
109,False,House,0
110,True,Gambler,1
111,False,House,0
112,False,House,0
113,True,Gambler,1
114,True,Gambler,1
115,True,Gambler,2
116,False,House,0
117,False,House,0
118,True,Gambler,3
119,False,House,0
120,True,Gambler,1
121,False,House,0
122,True,Gambler,1
123,False,House,0
124,True,Gambler,2
125,True,Gambler,1
126,True,Gambler,1
127,True,Gambler,2
128,True,Gambler,1
129,False,House,0
130,True,Gambler,2
131,False,House,0
132,True,Gambler,1
133,True,Gambler,1
134,True,Gambler,1
135,False,House,0
136,False,House,0
137,True,Gambler,1
138,True,Gambler,1
139,False,House,0
140,False,House,0
141,False,House,0
142,False,House,0
143,False,House,0
144,False,House,0
145,False,House,0
146,True,Gambler,1
147,True,Gambler,1
148,False,House,0
149,True,Gambler,1
150,False,House,0
151,False,House,0
152,False,House,0
153,False,House,0
154,False,House,0
155,True,Gambler,1
156,True,Gambler,1
157,True,Gambler,1
158,False,House,0
159,True,Gambler,1
160,False,House,0
161,True,Gambler,3
162,False,House,0
163,True,Gambler,1
164,False,House,0
165,True,Gambler,2
166,False,House,0
167,True,Gambler,2
168,True,Gambler,1
169,False,House,0
170,True,Gambler,1
171,False,House,0
172,True,Gambler,1
173,False,House,0
174,False,House,0
175,False,House,0
176,False,House,0
177,True,Gambler,2
178,False,House,0
179,False,House,0
180,True,Gambler,2
181,True,Gambler,1
182,True,Gambler,2
183,True,Gambler,2
184,True,Gambler,1
185,True,Gambler,1
186,True,Gambler,1
187,False,House,0
188,False,House,0
189,True,Gambler,1
190,True,Gambler,1
191,False,House,0
192,True,Gambler,1
193,False,House,0
194,True,Gambler,1
195,True,Gambler,1
196,True,Gambler,2
197,True,Gambler,1
198,False,House,0
199,True,Gambler,1
200,True,Gambler,1
201,False,House,0
202,False,House,0
203,False,House,0
204,False,House,0
205,False,House,0
206,False,House,0
207,True,Gambler,2
208,False,House,0
209,True,Gambler,2
210,True,Gambler,1
211,True,Gambler,1
212,False,House,0
213,False,House,0
214,False,House,0
215,False,House,0
216,True,Gambler,2
217,False,House,0
218,False,House,0
219,True,Gambler,1
220,False,House,0
221,True,Gambler,1
222,True,Gambler,1
223,True,Gambler,1
224,False,House,0
225,False,House,0
226,False,House,0
227,False,House,0
228,False,House,0
229,False,House,0
230,True,Gambler,2
231,False,House,0
232,False,House,0
233,False,House,0
234,True,Gambler,1
235,True,Gambler,1
236,False,House,0
237,False,House,0
238,True,Gambler,1
239,False,House,0
240,False,House,0
241,False,House,0
242,True,Gambler,2
243,False,House,0
244,False,House,0
245,False,House,0
246,True,Gambler,2
247,True,Gambler,2
248,True,Gambler,3
249,True,Gambler,1
250,True,Gambler,1
251,True,Gambler,1
252,False,House,0
253,False,House,0
254,True,Gambler,1
255,False,House,0
256,False,House,0
257,True,Gambler,1
258,True,Gambler,1
259,True,Gambler,3
260,True,Gambler,1
261,False,House,0
262,False,House,0
263,True,Gambler,3
264,True,Gambler,2
265,True,Gambler,2
266,True,Gambler,2
267,True,Gambler,3
268,True,Gambler,1
269,False,House,0
270,True,Gambler,3
271,False,House,0
272,False,House,0
273,False,House,0
274,False,House,0
275,True,Gambler,1
276,True,Gambler,2
277,False,House,0
278,False,House,0
279,False,House,0
280,False,House,0
281,False,House,0
282,False,House,0
283,False,House,0
284,True,Gambler,1
285,True,Gambler,2
286,True,Gambler,2
287,True,Gambler,1
288,False,House,0
289,True,Gambler,2
290,True,Gambler,1
291,False,House,0
292,False,House,0
293,False,House,0
294,True,Gambler,1
295,False,House,0
296,True,Gambler,1
297,True,Gambler,1
298,True,Gambler,1
299,True,Gambler,1
300,False,House,0
301,False,House,0
302,False,House,0
303,False,House,0
304,True,Gambler,1
305,False,House,0
306,False,House,0
307,False,House,0
308,False,House,0
309,False,House,0
310,True,Gambler,1
311,False,House,0
312,True,Gambler,1
313,True,Gambler,1
314,True,Gambler,2
315,False,House,0
316,False,House,0
317,True,Gambler,2
318,True,Gambler,1
319,True,Gambler,1
320,True,Gambler,1
321,False,House,0
322,False,House,0
323,True,Gambler,1
324,True,Gambler,1
325,True,Gambler,1
326,False,House,0
327,False,House,0
328,True,Gambler,1
329,False,House,0
330,True,Gambler,1
331,True,Gambler,1
332,True,Gambler,2
333,False,House,0
334,False,House,0
335,True,Gambler,3
336,True,Gambler,1
337,True,Gambler,1
338,True,Gambler,2
339,True,Gambler,2
340,False,House,0
341,True,Gambler,2
342,True,Gambler,1
343,True,Gambler,2
344,True,Gambler,2
345,False,House,0
346,True,Gambler,1
347,False,House,0
348,False,House,0
349,False,House,0
350,True,Gambler,2
351,True,Gambler,2
352,True,Gambler,1
353,False,House,0
354,True,Gambler,1
355,False,House,0
356,False,House,0
357,True,Gambler,1
358,False,House,0
359,True,Gambler,1
360,False,House,0
361,True,Gambler,2
362,False,House,0
363,True,Gambler,2
364,True,Gambler,1
365,True,Gambler,2
366,False,House,0
367,False,House,0
368,True,Gambler,1
369,False,House,0
370,False,House,0
371,False,House,0
372,True,Gambler,2
373,False,House,0
374,True,Gambler,1
375,False,House,0
376,True,Gambler,1
377,True,Gambler,1
378,True,Gambler,1
379,False,House,0
380,True,Gambler,1
381,True,Gambler,1
382,False,House,0
383,True,Gambler,1
384,False,House,0
385,True,Gambler,2
386,False,House,0
387,True,Gambler,2
388,False,House,0
389,True,Gambler,1
390,True,Gambler,1
391,False,House,0
392,True,Gambler,1
393,False,House,0
394,False,House,0
395,False,House,0
396,True,Gambler,1
397,False,House,0
398,True,Gambler,1
399,True,Gambler,1
400,False,House,0
401,False,House,0
402,False,House,0
403,True,Gambler,4
404,False,House,0
405,True,Gambler,3
406,False,House,0
407,False,House,0
408,False,House,0
409,False,House,0
410,False,House,0
411,True,Gambler,2
412,False,House,0
413,True,Gambler,1
414,True,Gambler,1
415,False,House,0
416,False,House,0
417,False,House,0
418,False,House,0
419,True,Gambler,1
420,True,Gambler,1
421,True,Gambler,1
422,False,House,0
423,True,Gambler,1
424,False,House,0
425,False,House,0
426,True,Gambler,1
427,True,Gambler,1
428,False,House,0
429,True,Gambler,2
430,True,Gambler,1
431,True,Gambler,1
432,True,Gambler,1
433,False,House,0
434,False,House,0
435,False,House,0
436,True,Gambler,1
437,True,Gambler,2
438,True,Gambler,1
439,True,Gambler,1
440,False,House,0
441,True,Gambler,1
442,False,House,0
443,True,Gambler,1
444,False,House,0
445,False,House,0
446,True,Gambler,2
447,False,House,0
448,True,Gambler,1
449,False,House,0
450,True,Gambler,1
451,True,Gambler,2
452,True,Gambler,2
453,False,House,0
454,True,Gambler,1
455,False,House,0
456,True,Gambler,1
457,True,Gambler,1
458,True,Gambler,1
459,False,House,0
460,False,House,0
461,False,House,0
462,False,House,0
463,True,Gambler,1
464,True,Gambler,1
465,True,Gambler,1
466,False,House,0
467,False,House,0
468,True,Gambler,1
469,False,House,0
470,True,Gambler,1
471,False,House,0
472,True,Gambler,1
473,False,House,0
474,True,Gambler,1
475,False,House,0
476,False,House,0
477,False,House,0
478,True,Gambler,2
479,True,Gambler,3
480,False,House,0
481,False,House,0
482,True,Gambler,1
483,True,Gambler,1
484,True,Gambler,1
485,True,Gambler,1
486,False,House,0
487,False,House,0
488,True,Gambler,1
489,False,House,0
490,True,Gambler,1
491,False,House,0
492,True,Gambler,3
493,False,House,0
494,True,Gambler,1
495,False,House,0
496,True,Gambler,1
497,False,House,0
498,True,Gambler,1
499,False,House,0
500,False,House,0
501,False,House,0
502,False,House,0
503,True,Gambler,1
504,False,House,0
505,False,House,0
506,False,House,0
507,True,Gambler,2
508,True,Gambler,1
509,False,House,0
510,True,Gambler,1
511,False,House,0
512,True,Gambler,1
513,False,House,0
514,False,House,0
515,False,House,0
516,True,Gambler,1
517,True,Gambler,2
518,True,Gambler,2
519,True,Gambler,1
520,True,Gambler,2
521,False,House,0
522,False,House,0
523,False,House,0
524,True,Gambler,1
525,True,Gambler,1
526,True,Gambler,2
527,False,House,0
528,False,House,0
529,False,House,0
530,True,Gambler,1
531,True,Gambler,1
532,True,Gambler,2
533,False,House,0
534,True,Gambler,1
535,True,Gambler,1
536,True,Gambler,3
537,False,House,0
538,False,House,0
539,True,Gambler,1
540,False,House,0
541,False,House,0
542,True,Gambler,2
543,True,Gambler,2
544,True,Gambler,1
545,True,Gambler,3
546,True,Gambler,1
547,False,House,0
548,False,House,0
549,False,House,0
550,True,Gambler,1
551,True,Gambler,1
552,True,Gambler,1
553,True,Gambler,1
554,True,Gambler,2
555,True,Gambler,2
556,False,House,0
557,True,Gambler,1
558,False,House,0
559,False,House,0
560,False,House,0
561,True,Gambler,1
562,False,House,0
563,False,House,0
564,True,Gambler,3
565,False,House,0
566,True,Gambler,1
567,True,Gambler,1
568,True,Gambler,2
569,True,Gambler,2
570,False,House,0
571,False,House,0
572,True,Gambler,1
573,True,Gambler,1
574,True,Gambler,1
575,True,Gambler,1
576,True,Gambler,1
577,False,House,0
578,False,House,0
579,True,Gambler,3
580,True,Gambler,2
581,True,Gambler,1
582,False,House,0
583,False,House,0
584,True,Gambler,1
585,False,House,0
586,False,House,0
587,False,House,0
588,False,House,0
589,False,House,0
590,True,Gambler,1
591,False,House,0
592,False,House,0
593,True,Gambler,2
594,False,House,0
595,True,Gambler,1
596,True,Gambler,1
597,False,House,0
598,True,Gambler,2
599,False,House,0
600,True,Gambler,1
601,False,House,0
602,False,House,0
603,False,House,0
604,False,House,0
605,True,Gambler,1
606,False,House,0
607,False,House,0
608,True,Gambler,2
609,True,Gambler,1
610,False,House,0
611,True,Gambler,1
612,True,Gambler,1
613,False,House,0
614,True,Gambler,1
615,False,House,0
616,False,House,0
617,True,Gambler,1
618,True,Gambler,1
619,True,Gambler,2
620,False,House,0
621,False,House,0
622,True,Gambler,1
623,True,Gambler,1
624,True,Gambler,1
625,True,Gambler,1
626,False,House,0
627,True,Gambler,1
628,True,Gambler,1
629,False,House,0
630,True,Gambler,1
631,True,Gambler,2
632,True,Gambler,1
633,False,House,0
634,True,Gambler,1
635,False,House,0
636,False,House,0
637,True,Gambler,1
638,False,House,0
639,False,House,0
640,True,Gambler,1
641,False,House,0
642,True,Gambler,1
643,True,Gambler,1
644,False,House,0
645,True,Gambler,1
646,True,Gambler,1
647,True,Gambler,1
648,False,House,0
649,True,Gambler,1
650,False,House,0
651,True,Gambler,1
652,True,Gambler,2
653,True,Gambler,1
654,False,House,0
655,True,Gambler,2
656,True,Gambler,1
657,False,House,0
658,False,House,0
659,True,Gambler,2
660,False,House,0
661,False,House,0
662,False,House,0
663,False,House,0
664,False,House,0
665,True,Gambler,2
666,True,Gambler,1
667,False,House,0
668,False,House,0
669,False,House,0
670,False,House,0
671,True,Gambler,2
672,False,House,0
673,True,Gambler,1
674,False,House,0
675,False,House,0
676,True,Gambler,1
677,False,House,0
678,True,Gambler,1
679,False,House,0
680,False,House,0
681,True,Gambler,3
682,True,Gambler,2
683,False,House,0
684,False,House,0
685,True,Gambler,1
686,True,Gambler,1
687,False,House,0
688,False,House,0
689,True,Gambler,2
690,True,Gambler,1
691,True,Gambler,2
692,True,Gambler,1
693,False,House,0
694,False,House,0
695,True,Gambler,1
696,False,House,0
697,False,House,0
698,True,Gambler,1
699,True,Gambler,3
700,True,Gambler,1
701,False,House,0
702,True,Gambler,1
703,False,House,0
704,False,House,0
705,False,House,0
706,False,House,0
707,False,House,0
708,False,House,0
709,False,House,0
710,False,House,0
711,True,Gambler,1
712,True,Gambler,2
713,True,Gambler,1
714,False,House,0
715,True,Gambler,1
716,True,Gambler,1
717,False,House,0
718,False,House,0
719,False,House,0
720,True,Gambler,1
721,True,Gambler,2
722,True,Gambler,2
723,False,House,0
724,False,House,0
725,False,House,0
726,True,Gambler,2
727,False,House,0
728,True,Gambler,1
729,False,House,0
730,False,House,0
731,False,House,0
732,True,Gambler,2
733,False,House,0
734,False,House,0
735,True,Gambler,1
736,True,Gambler,1
737,False,House,0
738,True,Gambler,1
739,False,House,0
740,False,House,0
741,False,House,0
742,False,House,0
743,False,House,0
744,True,Gambler,1
745,True,Gambler,1
746,False,House,0
747,True,Gambler,3
748,False,House,0
749,False,House,0
750,False,House,0
751,True,Gambler,1
752,False,House,0
753,True,Gambler,1
754,True,Gambler,1
755,False,House,0
756,False,House,0
757,True,Gambler,2
758,False,House,0
759,False,House,0
760,False,House,0
761,True,Gambler,2
762,True,Gambler,1
763,False,House,0
764,False,House,0
765,True,Gambler,1
766,True,Gambler,3
767,True,Gambler,1
768,True,Gambler,1
769,False,House,0
770,True,Gambler,1
771,True,Gambler,1
772,True,Gambler,2
773,False,House,0
774,False,House,0
775,False,House,0
776,False,House,0
777,True,Gambler,1
778,True,Gambler,1
779,True,Gambler,1
780,False,House,0
781,False,House,0
782,True,Gambler,3
783,False,House,0
784,True,Gambler,1
785,True,Gambler,2
786,False,House,0
787,True,Gambler,1
788,False,House,0
789,True,Gambler,2
790,True,Gambler,1
791,False,House,0
792,False,House,0
793,True,Gambler,1
794,True,Gambler,1
795,False,House,0
796,True,Gambler,1
797,True,Gambler,1
798,False,House,0
799,True,Gambler,1
800,False,House,0
801,False,House,0
802,False,House,0
803,True,Gambler,2
804,True,Gambler,1
805,True,Gambler,1
806,False,House,0
807,False,House,0
808,False,House,0
809,False,House,0
810,True,Gambler,1
811,True,Gambler,1
812,False,House,0
813,True,Gambler,2
814,False,House,0
815,False,House,0
816,True,Gambler,2
817,False,House,0
818,False,House,0
819,True,Gambler,2
820,False,House,0
821,False,House,0
822,True,Gambler,1
823,False,House,0
824,True,Gambler,1
825,False,House,0
826,True,Gambler,2
827,False,House,0
828,False,House,0
829,False,House,0
830,True,Gambler,1
831,False,House,0
832,True,Gambler,2
833,False,House,0
834,True,Gambler,1
835,True,Gambler,1
836,False,House,0
837,False,House,0
838,False,House,0
839,False,House,0
840,True,Gambler,1
841,True,Gambler,1
842,True,Gambler,2
843,True,Gambler,1
844,True,Gambler,1
845,True,Gambler,4
846,False,House,0
847,False,House,0
848,False,House,0
849,True,Gambler,2
850,False,House,0
851,True,Gambler,3
852,False,House,0
853,False,House,0
854,False,House,0
855,True,Gambler,2
856,False,House,0
857,True,Gambler,1
858,False,House,0
859,False,House,0
860,True,Gambler,1
861,True,Gambler,2
862,False,House,0
863,True,Gambler,1
864,True,Gambler,1
865,True,Gambler,1
866,True,Gambler,1
867,True,Gambler,1
868,True,Gambler,2
869,False,House,0
870,False,House,0
871,True,Gambler,1
872,False,House,0
873,False,House,0
874,True,Gambler,1
875,False,House,0
876,False,House,0
877,False,House,0
878,False,House,0
879,True,Gambler,2
880,False,House,0
881,True,Gambler,1
882,True,Gambler,1
883,True,Gambler,2
884,True,Gambler,2
885,True,Gambler,1
886,False,House,0
887,True,Gambler,1
888,True,Gambler,2
889,False,House,0
890,True,Gambler,1
891,True,Gambler,1
892,False,House,0
893,True,Gambler,2
894,True,Gambler,1
895,False,House,0
896,False,House,0
897,False,House,0
898,True,Gambler,3
899,True,Gambler,2
900,True,Gambler,1
901,False,House,0
902,False,House,0
903,True,Gambler,3
904,False,House,0
905,True,Gambler,2
906,True,Gambler,1
907,False,House,0
908,False,House,0
909,True,Gambler,1
910,True,Gambler,1
911,False,House,0
912,True,Gambler,1
913,False,House,0
914,True,Gambler,1
915,False,House,0
916,True,Gambler,1
917,True,Gambler,1
918,True,Gambler,1
919,True,Gambler,2
920,True,Gambler,2
921,True,Gambler,1
922,False,House,0
923,False,House,0
924,False,House,0
925,True,Gambler,2
926,False,House,0
927,True,Gambler,2
928,True,Gambler,1
929,False,House,0
930,False,House,0
931,False,House,0
932,False,House,0
933,False,House,0
934,True,Gambler,1
935,True,Gambler,1
936,True,Gambler,1
937,True,Gambler,1
938,True,Gambler,1
939,False,House,0
940,True,Gambler,1
941,False,House,0
942,False,House,0
943,True,Gambler,1
944,False,House,0
945,True,Gambler,1
