Arizona,74,88,NL West
Atlanta,101,61,NL East
Baltimore,83,79,AL East
Boston,78,84,AL East
Chicago Cubs,74,88,NL Central
Chicago White Sox,81,81,AL Central
Cincinnati,62,100,NL Central
Cleveland,92,70,AL Central
Colorado,68,94,NL West
Detroit,66,96,AL Central
Houston,106,56,AL West
Kansas City,65,97,AL Central
Los Angeles Angels,73,89,AL West
Los Angeles Dodgers,111,51,NL West
Miami,69,93,NL East
Milwaukee,86,76,NL Central
Minnesota,78,84,AL Central
New York Mets,101,61,NL East
New York Yankees,99,63,AL East
Oakland,60,102,AL West
Philadelphia,87,75,NL East
Pittsburgh,62,100,NL Central
San Diego,89,73,NL West
San Francisco,81,81,NL West
Seattle,90,72,AL West
St. Louis,93,69,NL Central
Tampa Bay,86,76,AL East
Texas,68,94,AL West
Toronto,92,70,AL East
Washington,55,107,NL East
